,Tên nhà máy,Công suất PLM (MW),Sản lượng (triệu KWh /năm),Khởi công,Hoạt động,Tọa độ,Vị trí xã huyện,Tỉnh
31,Long Thành,10.0,20.0,2018,5/2019,"13°02′38″B 107°52′38″Đ﻿ / ﻿13,04384°B 107,87716°Đ",xã Cư M'Lan huyện Ea Súp,Đăk Lăk [14]
32,Long Thành 1,50.0,,9/2018,6/2019,"13°18′33″B 107°39′54″Đ﻿ / ﻿13,30915°B 107,66489°Đ",xã Ia Lốp huyện Ea Súp,Đăk Lăk
33,Quang Minh,50.0,,10/2018,3/2019,,huyện Buôn Đôn,Đăk Lăk
34,Srêpôk 1,100.0,,7/2018,3/2019,"12°51′08″B 107°52′55″Đ﻿ / ﻿12,85209°B 107,88208°Đ",xã Ea Wer huyện Buôn Đôn,Đăk Lăk [15]
35,Xuân Thiện Ea Súp,831.0,1500.0,4/2020,11/2020,"13°18′35″B 107°40′14″Đ﻿ / ﻿13,3097°B 107,67045°Đ",xã Ia Lốp huyện Ea Súp,Đăk Lăk [16]
36,AMI Khánh Hòa,47.5,74.0,10/2018,5/2019,"12°00′37″B 109°07′53″Đ﻿ / ﻿12,01029°B 109,13137°Đ",xã Cam An Nam huyện Cam Lâm,Khánh Hòa [17]
37,Cam Lâm,100.0,158.0,7/2018,7/2019,"12°00′50″B 109°05′47″Đ﻿ / ﻿12,01391°B 109,09633°Đ",xã Cam An Bắc huyện Cam Lâm,Khánh Hòa [18]
38,KN Vạn Ninh,86.7,162.0,6/2020,12/2020,"12°35′28″B 109°10′27″Đ﻿ / ﻿12,59114°B 109,17426°Đ","xã Vạn Hưng, huyện Vạn Ninh",Khánh Hòa
39,Cam Lâm VN,45.0,79.0,4/2018,7/2019,,xã Cam An Bắc huyện Cam Lâm,Khánh Hòa
40,Điện lực Miền Trung,8.5,,1/2019,6/2019,"12°00′34″B 109°05′13″Đ﻿ / ﻿12,00942°B 109,08696°Đ","xã Cam An Bắc, huyện Cam Lâm",Khánh Hòa
